# gridsize threads setup_time sim_time flooded_cells flooded_percent
1000 1 0.1926 5.8111 711247 71.1
1000 2 0.1922 2.9649 711247 71.1
1000 4 0.1966 1.5444 711247 71.1
1000 8 0.1950 1.2496 711248 71.1
2000 1 0.6958 23.3911 2844019 71.1
2000 2 0.6995 12.0112 2844019 71.1
2000 4 0.6979 6.2666 2844019 71.1
2000 8 0.6994 4.4902 2844019 71.1
5000 1 4.3057 145.5663 17769432 71.1
5000 2 4.2353 74.5919 17769432 71.1
5000 4 4.1759 38.4793 17769432 71.1
5000 8 4.2506 26.6292 17769432 71.1
8000 1 11.1563 381.1400 45490733 71.1
8000 2 11.0447 191.2746 45490733 71.1
8000 4 10.8970 98.0716 45490734 71.1
8000 8 10.7915 67.0021 45490732 71.1
